id;name;address;age;roll_number;date_of_birth;designation
1;mobile Fish;Home Loan Account Table Computer;5808;45924;2019-11-12;Savings Account alarm
2;Tasty Metal Bacon;red Chips Soap;30424;61165;2019-11-12;web-readiness
3;Namibia;Steel zero administration;36636;23277;2019-11-13;bluetooth
4;syndicate;Mississippi Refined Rubber Chicken Table;6505;1326;2019-11-12;Planner cross-platform access
5;Public-key;infomediaries;12203;60999;2019-11-12;Games Regional Digitized
6;copy convergence;Mayotte;18485;3131;2019-11-12;connect Markets Chief
7;capacitor archive;sky blue Tasty Plastic Pizza;38867;74732;2019-11-13;generating compelling
8;Home Loan Account;Plastic;80219;16526;2019-11-13;Administrator
9;reinvent 24 hour Jewelery;monitor;72900;79017;2019-11-12;Unbranded Plastic Tuna Frozen
10;generating Highway Ergonomic;moratorium moratorium;72960;59129;2019-11-12;COM
